demand_th,DAA_price,CO2_price,Gas_price
0.1469452338,50.05,82.25,70.807
0.1500444621,41.33,82.25,70.807
0.1569258683,43.22,82.25,70.807
0.1740503842,45.46,82.25,70.807
0.2175136794,37.67,82.25,70.807
0.2993166845,39.7,82.25,70.807
0.3541620446,40.59,82.25,70.807
0.3316082816,43.26,82.25,70.807
0.3062301219,49.66,82.25,70.807
0.2851263663,70.05,82.25,70.807
0.2630026701,76.79,82.25,70.807
0.2502968704,84.1,82.25,70.807
0.2435902264,94.74,82.25,70.807
0.2437331516,96.8,82.25,70.807
0.246778243,97.17,82.25,70.807
0.2542671496,101,82.25,70.807
0.2675343843,126.6,82.25,70.807
0.2856671632,149.97,82.25,70.807
0.297276272,146.33,82.25,70.807
0.2837494791,140.28,82.25,70.807
0.2626769986,121.88,82.25,70.807
0.2184679538,102.61,82.25,70.807
0.1507227637,97.46,82.25,70.807
0.1441735159,85.16,82.25,70.807
0.1727600376,57.08,82.25,70.807
0.1774486003,52.59,82.25,70.807
0.1849768878,48.97,82.25,70.807
0.198377213,34.94,82.25,70.807
0.2334336342,29.56,82.25,70.807
0.3090781543,33.97,82.25,70.807
0.3621553123,34.52,82.25,70.807
0.3496276187,41.8,82.25,70.807
0.3293109494,48.95,82.25,70.807
0.3112578832,60.01,82.25,70.807
0.2890211734,70.09,82.25,70.807
0.2756799032,66.26,82.25,70.807
0.2672108186,64.54,82.25,70.807
0.2659853869,46.96,82.25,70.807
0.2701684451,40.01,82.25,70.807
0.2793290922,29.11,82.25,70.807
0.2895400515,32.76,82.25,70.807
0.3060718235,42.97,82.25,70.807
0.3194935864,60.96,82.25,70.807
0.308095897,60.94,82.25,70.807
0.2873532149,54.12,82.25,70.807
0.2461959584,46.16,82.25,70.807
0.1766938357,46.29,82.25,70.807
0.1696068341,32.93,82.25,70.807
0.1655940671,0.31,82.25,70.807
0.1700881514,-0.01,82.25,70.807
0.1773041705,-0.07,82.25,70.807
0.1901486592,-1.05,82.25,70.807
0.2237509635,-1,82.25,70.807
0.2962577996,0.32,82.25,70.807
0.3471333528,37.55,82.25,70.807
0.3351252995,88.76,82.25,70.807
0.315651352,122.93,82.25,70.807
0.2983471149,110.17,82.25,70.807
0.2770327689,93.38,82.25,70.807
0.2642448856,90.73,82.25,70.807
0.256127093,82.37,82.25,70.807
0.2549524913,80.9,82.25,70.807
0.2589620391,80.99,82.25,70.807
0.2677427087,98.05,82.25,70.807
0.2775301242,123.51,82.25,70.807
0.2933761694,148.49,82.25,70.807
0.3062412067,138,82.25,70.807
0.2953162858,117.64,82.25,70.807
0.2754339962,117.71,82.25,70.807
0.2359839151,95.95,82.25,70.807
0.1693646938,105.68,82.25,70.807
0.1625716563,95.26,82.25,70.807
0.1655940671,103.7,82.25,70.807
0.1700881514,108.27,82.25,70.807
0.1773041705,105.92,82.25,70.807
0.1901486592,103.41,82.25,70.807
0.2237509635,102.71,82.25,70.807
0.2962577996,114.23,82.25,70.807
0.3471333528,156.91,82.25,70.807
0.3351252995,182.64,82.25,70.807
0.315651352,178.91,82.25,70.807
0.2983471149,190,82.25,70.807
0.2770327689,189.88,82.25,70.807
0.2642448856,182.42,82.25,70.807
0.256127093,182.46,82.25,70.807
0.2549524913,179.59,82.25,70.807
0.2589620391,179,82.25,70.807
0.2677427087,180.93,82.25,70.807
0.2775301242,166.69,82.25,70.807
0.2933761694,189.88,82.25,70.807
0.3062412067,184.94,82.25,70.807
0.2953162858,178.99,82.25,70.807
0.2754339962,156.12,82.25,70.807
0.2359839151,140.92,82.25,70.807
0.1693646938,137.92,82.25,70.807
0.1625716563,97.56,82.25,70.807
0.1794790773,105.31,82.25,91.338
0.1843499891,97.29,82.25,91.338
0.1921710692,84.5,82.25,91.338
0.2060925642,75.38,82.25,91.338
0.2425124111,79.11,82.25,91.338
0.3210989225,94.79,82.25,91.338
0.3762403747,99.16,82.25,91.338
0.3632254499,101.15,82.25,91.338
0.3421186181,129.56,82.25,91.338
0.3233634261,113.37,82.25,91.338
0.300261879,94.43,82.25,91.338
0.2864017358,98.1,82.25,91.338
0.2776032688,95.68,82.25,91.338
0.2763301771,96.8,82.25,91.338
0.2806759242,107.32,82.25,91.338
0.2901928502,119.48,82.25,91.338
0.3008009374,137.28,82.25,91.338
0.3179756685,148.09,82.25,91.338
0.331919435,139.88,82.25,91.338
0.320078463,135.75,82.25,91.338
0.2985290497,119.93,82.25,91.338
0.2557710917,98.09,82.25,91.338
0.1835658699,118.71,82.25,91.338
0.1762032383,99.68,82.25,91.338
0.1727600376,99.85,82.25,92.598
0.1774486003,101.32,82.25,92.598
0.1849768878,110.01,82.25,92.598
0.198377213,111.55,82.25,92.598
0.2334336342,123.37,82.25,92.598
0.3090781543,149.94,82.25,92.598
0.3621553123,185.92,82.25,92.598
0.3496276187,228.25,82.25,92.598
0.3293109494,228.92,82.25,92.598
0.3112578832,212.9,82.25,92.598
0.2890211734,215.5,82.25,92.598
0.2756799032,231.9,82.25,92.598
0.2672108186,226,82.25,92.598
0.2659853869,209.2,82.25,92.598
0.2701684451,216.06,82.25,92.598
0.2793290922,230.77,82.25,92.598
0.2895400515,245.95,82.25,92.598
0.3060718235,274.11,82.25,92.598
0.3194935864,273.44,82.25,92.598
0.308095897,245.48,82.25,92.598
0.2873532149,226.14,82.25,92.598
0.2461959584,208.31,82.25,92.598
0.1766938357,178.75,82.25,92.598
0.1696068341,124.7,82.25,92.598
0.1469452338,128.92,82.25,94.548
0.1500444621,118.4,82.25,94.548
0.1569258683,103.01,82.25,94.548
0.1740503842,101.91,82.25,94.548
0.2175136794,101.98,82.25,94.548
0.2993166845,114.99,82.25,94.548
0.3541620446,140.19,82.25,94.548
0.3316082816,152.64,82.25,94.548
0.3062301219,160.97,82.25,94.548
0.2851263663,161.85,82.25,94.548
0.2630026701,161.37,82.25,94.548
0.2502968704,166.06,82.25,94.548
0.2435902264,166.54,82.25,94.548
0.2437331516,166.04,82.25,94.548
0.246778243,169.43,82.25,94.548
0.2542671496,189.7,82.25,94.548
0.2675343843,201.97,82.25,94.548
0.2856671632,243.11,82.25,94.548
0.297276272,253.81,82.25,94.548
0.2837494791,237.05,82.25,94.548
0.2626769986,224.33,82.25,94.548
0.2184679538,213.81,82.25,94.548
0.1507227637,185.94,82.25,94.548
0.1441735159,148.32,82.25,94.548
0.1237197599,164.17,82.25,90.886
0.1263291388,152.83,82.25,90.886
0.1321229022,166,82.25,90.886
0.1465407975,160.86,82.25,90.886
0.1831344883,160,82.25,90.886
0.2520080944,154.3,82.25,90.886
0.2981848543,166,82.25,90.886
0.2791958332,182.91,82.25,90.886
0.2578288263,215.89,82.25,90.886
0.2400606312,231,82.25,90.886
0.2214337026,228.95,82.25,90.886
0.210736122,215.39,82.25,90.886
0.2050894987,206.68,82.25,90.886
0.2052098338,185,82.25,90.886
0.2077736323,169.52,82.25,90.886
0.2140788775,162.8,82.25,90.886
0.2252491553,161.34,82.25,90.886
0.2405159524,189.9,82.25,90.886
0.2502901799,170.71,82.25,90.886
0.2389013683,140.23,82.25,90.886
0.2211595052,102.54,82.25,90.886
0.1839379346,102.18,82.25,90.886
0.1269002312,102.29,82.25,90.886
0.1213861267,90.05,82.25,90.886
0.1655940671,85.03,82.25,90.886
0.1700881514,84.4,82.25,90.886
0.1773041705,80.24,82.25,90.886
0.1901486592,55.46,82.25,90.886
0.2237509635,49.29,82.25,90.886
0.2962577996,50.64,82.25,90.886
0.3471333528,74.29,82.25,90.886
0.3351252995,84.44,82.25,90.886
0.315651352,97.26,82.25,90.886
0.2983471149,119.97,82.25,90.886
0.2770327689,134.96,82.25,90.886
0.2642448856,149.4,82.25,90.886
0.256127093,165.13,82.25,90.886
0.2549524913,165.06,82.25,90.886
0.2589620391,170.09,82.25,90.886
0.2677427087,189.04,82.25,90.886
0.2775301242,190.96,82.25,90.886
0.2933761694,223.3,82.25,90.886
0.3062412067,243.94,82.25,90.886
0.2953162858,240,82.25,90.886
0.2754339962,230.82,82.25,90.886
0.2359839151,214.02,82.25,90.886
0.1693646938,215.88,82.25,90.886
0.1625716563,203.8,82.25,90.886
0.1154860344,196.23,82.25,91.43
0.1179217554,191.85,82.25,91.43
0.1233299357,195.91,82.25,91.43
0.1367882996,186.66,82.25,91.43
0.1709466284,178.04,82.25,91.43
0.2352365983,191.65,82.25,91.43
0.2783402294,237.44,82.25,91.43
0.2606149545,299.95,82.25,91.43
0.2406699522,313.92,82.25,91.43
0.2240842557,315,82.25,91.43
0.2066969757,310.41,82.25,91.43
0.1967113342,310.08,82.25,91.43
0.1914405016,300,82.25,91.43
0.1915528283,297.01,82.25,91.43
0.1939460024,299.96,82.25,91.43
0.1998316246,306.45,82.25,91.43
0.2102585046,302.73,82.25,91.43
0.2245092746,315.47,82.25,91.43
0.2336330134,310.82,82.25,91.43
0.2230021434,294.98,82.25,91.43
0.2064410265,267.45,82.25,91.43
0.1716966041,242.29,82.25,91.43
0.1184548408,217.03,82.25,91.43
0.1133077078,195.83,82.25,91.43
0.1469452338,210.34,82.25,88.498
0.1500444621,202.42,82.25,88.498
0.1569258683,197.6,82.25,88.498
0.1740503842,193,82.25,88.498
0.2175136794,194.9,82.25,88.498
0.2993166845,204.45,82.25,88.498
0.3541620446,237.13,82.25,88.498
0.3316082816,298.68,82.25,88.498
0.3062301219,302.02,82.25,88.498
0.2851263663,297.16,82.25,88.498
0.2630026701,277.02,82.25,88.498
0.2502968704,266.43,82.25,88.498
0.2435902264,254.92,82.25,88.498
0.2437331516,248.89,82.25,88.498
0.246778243,255.01,82.25,88.498
0.2542671496,277.9,82.25,88.498
0.2675343843,289.94,82.25,88.498
0.2856671632,316.4,82.25,88.498
0.297276272,315.9,82.25,88.498
0.2837494791,309.2,82.25,88.498
0.2626769986,285.33,82.25,88.498
0.2184679538,245.44,82.25,88.498
0.1507227637,237.27,82.25,88.498
0.1441735159,212.49,82.25,88.498
0.1655940671,196.65,82.25,82.675
0.1700881514,187.1,82.25,82.675
0.1773041705,184.27,82.25,82.675
0.1901486592,179.58,82.25,82.675
0.2237509635,178.33,82.25,82.675
0.2962577996,193.5,82.25,82.675
0.3471333528,240.56,82.25,82.675
0.3351252995,273.18,82.25,82.675
0.315651352,300.1,82.25,82.675
0.2983471149,292.74,82.25,82.675
0.2770327689,275.5,82.25,82.675
0.2642448856,258.65,82.25,82.675
0.256127093,245.11,82.25,82.675
0.2549524913,232.08,82.25,82.675
0.2589620391,234.77,82.25,82.675
0.2677427087,240.01,82.25,82.675
0.2775301242,255,82.25,82.675
0.2933761694,284.82,82.25,82.675
0.3062412067,285.97,82.25,82.675
0.2953162858,269.03,82.25,82.675
0.2754339962,235.25,82.25,82.675
0.2359839151,191.5,82.25,82.675
0.1693646938,193.69,82.25,82.675
0.1625716563,172.18,82.25,82.675
0.1154860344,173.14,82.25,79.105
0.1179217554,161.69,82.25,79.105
0.1233299357,153.58,82.25,79.105
0.1367882996,147.07,82.25,79.105
0.1709466284,152.47,82.25,79.105
0.2352365983,171.26,82.25,79.105
0.2783402294,192.03,82.25,79.105
0.2606149545,215.24,82.25,79.105
0.2406699522,235.9,82.25,79.105
0.2240842557,219.99,82.25,79.105
0.2066969757,180.08,82.25,79.105
0.1967113342,170.16,82.25,79.105
0.1914405016,152.53,82.25,79.105
0.1915528283,134.13,82.25,79.105
0.1939460024,171.01,82.25,79.105
0.1998316246,201.59,82.25,79.105
0.2102585046,205.38,82.25,79.105
0.2245092746,220.3,82.25,79.105
0.2336330134,212.76,82.25,79.105
0.2230021434,210,82.25,79.105
0.2064410265,192.69,82.25,79.105
0.1716966041,164.46,82.25,79.105
0.1184548408,164.2,82.25,79.105
0.1133077078,122.09,82.25,79.105
0.1237197599,120.04,82.25,79.105
0.1263291388,110.03,82.25,79.105
0.1321229022,108.24,82.25,79.105
0.1465407975,107.46,82.25,79.105
0.1831344883,109.82,82.25,79.105
0.2520080944,140.52,82.25,79.105
0.2981848543,176.04,82.25,79.105
0.2791958332,190.97,82.25,79.105
0.2578288263,216.99,82.25,79.105
0.2400606312,196.91,82.25,79.105
0.2214337026,162.92,82.25,79.105
0.210736122,160.04,81.7,79.105
0.2050894987,154.01,81.52,79.105
0.2052098338,152.29,81.52,79.105
0.2077736323,186.94,81.52,79.105
0.2140788775,217.18,81.52,79.105
